75,Gayle Jack,Gayle.Jack@fakegame.com,78,Finance team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
76,Sandra Mondragon,Sandra.Mondragon@fakegame.com,78,Finance team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
77,Mathew Sims,Mathew.Sims@fakegame.com,78,Finance team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
78,Brent Straughn,Brent.Straughn@fakegame.com,100,Finance team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
79,Charles Campbell,Charles.Campbell@fakegame.com,78,Finance team,IT,"['Problem solving', 'Automation', 'Daily technologies']"
80,Latoya Anderson,Latoya.Anderson@fakegame.com,93,New fps game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
81,Margret Shields,Margret.Shields@fakegame.com,93,New fps game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
82,Regina Vasquez,Regina.Vasquez@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']"
83,Ernest Fox,Ernest.Fox@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']"
84,Jeffrey Draper,Jeffrey.Draper@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']"
85,Michael Taylor,Michael.Taylor@fakegame.com,93,New fps game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
86,Eileen Brehm,Eileen.Brehm@fakegame.com,93,New fps game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
87,Richard Causer,Richard.Causer@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']"
88,Christopher Rathbone,Christopher.Rathbone@fakegame.com,93,New fps game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
89,James Vanderpool,James.Vanderpool@fakegame.com,93,New fps game,IT,"['Problem solving', 'Automation', 'Daily technologies']"
90,Collen Williams,Collen.Williams@fakegame.com,93,New fps game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
91,Cristopher Crum,Cristopher.Crum@fakegame.com,93,New fps game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']"
92,Laura Halliburton,Laura.Halliburton@fakegame.com,93,New fps game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']"
93,Mary Viall,Mary.Viall@fakegame.com,100,Global distribution team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']"
94,Rebecca Franklin,Rebecca.Franklin@fakegame.com,100,Office management,Manager,"['Strategic Planning', 'Communication', 'Decision Making']"
95,Arlene Roehm,Arlene.Roehm@fakegame.com,100,DevRel,DevRel,"['Strategic Thinking', 'Communication', 'Decision Making', 'Drinking']"
96,Jan Knock,Jan.Knock@fakegame.com,100,Admin,IT,"['Problem solving', 'Automation', 'Daily technologies', 'Linux']"
97,Sandra Bellomo,Sandra.Bellomo@fakegame.com,94,Office management,Office management,"['Budgeting', 'Events']"
98,David Gieck,David.Gieck@fakegame.com,97,Office management,Office management,"['Budgeting', 'Events']"
99,Bob Toman,Bob.Toman@fakegame.com,97,Office management,Office management,"['Budgeting', 'Office supplies']"
100,John Loftis,John.Loftis@fakegame.com,0,Fake game,CEO,"['People Management', 'Budgeting', 'Hiring']"
